country,gdp
Afghanistan,21992.76447
Albania,13039.35591
Algeria,167555.2541
Andorra,3013.396181
Angola,126505.7104
Anguilla,281.194084
Antigua and Barbuda,1510.084751
Argentina,637486.2147
Armenia,11536.5914
Aruba,2700.558659
Australia,1408675.702
Austria,416835.9759
Azerbaijan,40748.86228
Bahamas,11791.51102
Bahrain,35325.90988
Bangladesh,245633.4889
Barbados,4712.698288
Belarus,54441.18906
Belgium,494763.5519
Belize,1902.251256
Benin,9236.440857
Bermuda,6269.384044
Bhutan,2562.41167
Bolivia (Plurinational State of),37508.64217
Bosnia and Herzegovina,18169.07591
Botswana,17406.53071
Brazil,2055512.218
British Virgin Islands,995.67702
Brunei Darussalam,12128.16661
Bulgaria,58222.39005
Burkina Faso,12324.81144
Burundi,3155.456445
Cabo Verde,1772.84939
Cambodia,22121.36824
Cameroon,34924.03034
Canada,1647120.175
Cayman Islands,4030.414822
Central African Republic,1992.75411
Chad,10716.95523
Chile,277080.9672
"China, Hong Kong SAR",341659.3847
"China, Macao SAR",50361.19482
"China, mainland",12237781.8
Colombia,309191.3826
Comoros,1082.435834
Congo,11292.36492
Cook Islands,309.322778
Costa Rica,57564.78527
Côte d'Ivoire,38054.8974
Croatia,55201.15172
Cuba,96851
Cyprus,22054.26738
Czechia,215824.6089
Democratic People's Republic of Korea,17364.72493
Democratic Republic of the Congo,37642.48175
Denmark,329865.5372
Djibouti,1844.67702
Dominica,496.72701
Dominican Republic,75931.73049
Ecuador,104295.862
Egypt,195135.5243
El Salvador,24805.43964
Equatorial Guinea,12487.17738
Eritrea,5812.656992
Estonia,25921.07961
Eswatini,4408.584212
Ethiopia,75605.00723
Fiji,4873.682447
Finland,252246.6199
France,2582492.292
French Polynesia,5605.509812
Gabon,14623.37685
Gambia,1489.463921
Georgia,15159.02952
Germany,3693204.332
Ghana,58996.32423
Greece,203085.5514
Greenland,2790.02383
Grenada,1126.882288
Guatemala,75619.62222
Guinea,10208.48364
Guinea-Bissau,1346.887577
Guyana,3543.200968
Haiti,8521.132073
Honduras,22978.54717
Hungary,139761.1381
Iceland,24476.98854
India,2575666.611
Indonesia,1015539.02
Iran (Islamic Republic of),460976.1078
Iraq,182023.5375
Ireland,331430.0139
Israel,353268.4133
Italy,1943835.376
Jamaica,14826.78669
Japan,4872415.104
Jordan,40708.4507
Kazakhstan,159406.9153
Kenya,74938.17884
Kiribati,197.211514
Kosovo,7227.721027
Kuwait,119534.0212
Kyrgyzstan,7564.742367
Lao People's Democratic Republic,16853.10455
Latvia,30463.30241
Lebanon,53393.7996
Lesotho,2631.569594
Liberia,2762.628933
Libya,25127.29447
Liechtenstein,6295.875018
Lithuania,47544.45956
Luxembourg,62316.35982
Madagascar,13208.39117
Malawi,6339.282433
Malaysia,314707.2681
Maldives,4865.555985
Mali,15235.82498
Malta,12553.22557
Marshall Islands,199.399247
Mauritania,4992.107858
Mauritius,13366.07239
Mexico,1158229.075
Micronesia (Federated States of),336.427533
Monaco,6400.965188
Mongolia,11135.0472
Montenegro,4844.606146
Montserrat,59.959259
Morocco,109708.7528
Mozambique,12651.92052
Myanmar,67101.85419
Namibia,13244.59688
Nauru,114.105442
Nepal,24870.22403
Netherlands,830572.6189
New Caledonia,9894.207006
New Zealand,202044.2244
Nicaragua,13814.10462
Niger,8119.98652
Nigeria,375769.7194
North Macedonia,11279.51729
Norway,399470.1734
Oman,70783.76269
Pakistan,302139.4767
Palau,291.544
Palestine,14498.1
Panama,61838.17584
Papua New Guinea,22005.8277
Paraguay,29435.06906
Peru,211402.9852
Philippines,313595.0856
Poland,526211.8539
Portugal,195041.1968
Puerto Rico,104218.6
Qatar,167605.4206
Republic of Korea,1530750.894
Republic of Moldova,8128.478103
Romania,211803.7175
Russian Federation,1577524.424
Rwanda,9136.162028
Saint Kitts and Nevis,930.789458
Saint Lucia,1718.148148
Saint Vincent and the Grenadines,780.134696
Samoa,855.629767
San Marino,1689.626842
Sao Tome and Principe,392.5696
Saudi Arabia,683827.1443
Senegal,21126.14869
Serbia,41589.72045
Seychelles,1486.682658
Sierra Leone,3739.578024
Singapore,323901.3705
Slovakia,95617.67026
Slovenia,48455.96683
Solomon Islands,1211.855643
Somalia,1535.285669
South Africa,348872.1496
South Sudan,5693.909696
Spain,1314314.164
Sri Lanka,87356.64756
Sudan,120265.7719
Suriname,3807.147444
Sweden,535607.3855
Switzerland,678938.2065
Syrian Arab Republic,15183.36383
Tajikistan,7145.666195
Thailand,455302.5347
Timor-Leste,2954.621
Togo,4785.902054
Tonga,426.659859
Trinidad and Tobago,22104.86644
Tunisia,40068.818
Turkey,851541.6137
Turkmenistan,37915.17548
Turks and Caicos Islands,1016.915
Tuvalu,43.912497
Uganda,27698.80492
Ukraine,112154.1586
United Arab Emirates,382575.0399
United Kingdom,2631228.01
United Republic of Tanzania,53481.42937
United States of America,19485394
Uruguay,59180.19696
Uzbekistan,49677.18295
Vanuatu,864.199997
Venezuela (Bolivarian Republic of),255092.5322
Viet Nam,223779.8662
Yemen,27956.76688
Zambia,25868.14048
Zimbabwe,18036.87328
