country,meat_type,meat_produced
Afghanistan,"Meat, camel",3656
Afghanistan,"Meat, cattle",93690
Afghanistan,"Meat, chicken",27871
Afghanistan,"Meat, goat",46780
Afghanistan,"Meat, sheep",112568
Albania,"Meat, cattle",39017
Albania,"Meat, chicken",12912
Albania,"Meat, goat",9723
Albania,"Meat, nes",149
Albania,"Meat, pig",11561
Albania,"Meat, sheep",16512
Algeria,"Meat, camel",5948
Algeria,"Meat, cattle",151200
Algeria,"Meat, chicken",253206
Algeria,"Meat, goat",18919
Algeria,"Meat, horse",334
Algeria,"Meat, pig",112
Algeria,"Meat, rabbit",8403
Algeria,"Meat, sheep",269387
Algeria,"Meat, turkey",21450
American Samoa,"Meat, cattle",4
American Samoa,"Meat, chicken",25
American Samoa,"Meat, nes",
American Samoa,"Meat, pig",309
Angola,"Meat, cattle",99865
Angola,"Meat, chicken",42165
Angola,"Meat, goat",19665
Angola,"Meat, pig",121023
Angola,"Meat, sheep",4305
Antigua and Barbuda,"Meat, cattle",150
Antigua and Barbuda,"Meat, chicken",27
Antigua and Barbuda,"Meat, goat",38
Antigua and Barbuda,"Meat, pig",50
Antigua and Barbuda,"Meat, sheep",26
Argentina,"Meat, cattle",2842000
Argentina,"Meat, chicken",2116000
Argentina,"Meat, duck",9486
Argentina,"Meat, goat",11198
Argentina,"Meat, goose and guinea fowl",571
Argentina,"Meat, horse",15224
Argentina,"Meat, nes",115
Argentina,"Meat, pig",566276
Argentina,"Meat, rabbit",1100
Argentina,"Meat, sheep",50616
Argentina,"Meat, turkey",35094
Armenia,"Meat, cattle",71100
Armenia,"Meat, chicken",10600
Armenia,"Meat, goat",38
Armenia,"Meat, pig",16600
Armenia,"Meat, sheep",11000
Australia,"Meat, cattle",2048517
Australia,"Meat, chicken",1229505
Australia,"Meat, duck",17335
Australia,"Meat, goat",33000
Australia,"Meat, horse",27671
Australia,"Meat, pig",397139
Australia,"Meat, sheep",669604
Australia,"Meat, turkey",22120
Austria,"Meat, cattle",226859
Austria,"Meat, chicken",126800
Austria,"Meat, duck",140
Austria,"Meat, goat",552
Austria,"Meat, goose and guinea fowl",500
Austria,"Meat, horse",110
Austria,"Meat, pig",508494
Austria,"Meat, rabbit",167
Austria,"Meat, sheep",6011
Austria,"Meat, turkey",20100
Azerbaijan,"Meat, cattle",132902
Azerbaijan,"Meat, chicken",104362
Azerbaijan,"Meat, pig",471
Azerbaijan,"Meat, sheep",79092
Bahamas,"Meat, cattle",18
Bahamas,"Meat, chicken",5853
Bahamas,"Meat, goat",74
Bahamas,"Meat, pig",336
Bahamas,"Meat, sheep",30
Bahrain,"Meat, camel",89
Bahrain,"Meat, cattle",1070
Bahrain,"Meat, chicken",7216
Bahrain,"Meat, goat",147
Bahrain,"Meat, sheep",17325
Bangladesh,"Meat, buffalo",5864
Bangladesh,"Meat, cattle",191010
Bangladesh,"Meat, chicken",195393
Bangladesh,"Meat, duck",53732
Bangladesh,"Meat, goat",222674
Bangladesh,"Meat, nes",16532
Bangladesh,"Meat, sheep",4948
Barbados,"Meat, cattle",145
Barbados,"Meat, chicken",14956
Barbados,"Meat, goat",30
Barbados,"Meat, pig",2801
Barbados,"Meat, sheep",107
Barbados,"Meat, turkey",253
Belarus,"Meat, cattle",317300
Belarus,"Meat, chicken",46000
Belarus,"Meat, duck",3000
Belarus,"Meat, horse",700
Belarus,"Meat, pig",399500
Belarus,"Meat, rabbit",934
Belarus,"Meat, sheep",1400
Belgium,"Meat, cattle",281536
Belgium,"Meat, chicken",455364
Belgium,"Meat, duck",123
Belgium,"Meat, goat",284
Belgium,"Meat, horse",1772
Belgium,"Meat, nes",500
Belgium,"Meat, pig",1044561
Belgium,"Meat, sheep",2950
Belgium,"Meat, turkey",7868
Belize,"Meat, cattle",1483
Belize,"Meat, chicken",19646
Belize,"Meat, duck",15
Belize,"Meat, goat",1
Belize,"Meat, pig",1778
Belize,"Meat, sheep",45
Belize,"Meat, turkey",317
Benin,"Meat, cattle",40753
Benin,"Meat, chicken",17560
Benin,"Meat, goat",5857
Benin,"Meat, pig",6373
Benin,"Meat, sheep",5323
Bermuda,"Meat, cattle",29
Bermuda,"Meat, chicken",121
Bermuda,"Meat, goat",2
Bermuda,"Meat, pig",75
Bhutan,"Meat, buffalo",10
Bhutan,"Meat, cattle",4390
Bhutan,"Meat, chicken",1571
Bhutan,"Meat, goat",170
Bhutan,"Meat, pig",780
Bhutan,"Meat, sheep",58
Bolivia (Plurinational State of),"Meat, cattle",260000
Bolivia (Plurinational State of),"Meat, chicken",529931
Bolivia (Plurinational State of),"Meat, duck",2117
Bolivia (Plurinational State of),"Meat, goat",7000
Bolivia (Plurinational State of),"Meat, other camelids",12655
Bolivia (Plurinational State of),"Meat, other rodents",5252
Bolivia (Plurinational State of),"Meat, pig",106000
Bolivia (Plurinational State of),"Meat, rabbit",179
Bolivia (Plurinational State of),"Meat, sheep",22000
Bolivia (Plurinational State of),"Meat, turkey",786
Bosnia and Herzegovina,"Meat, cattle",15530
Bosnia and Herzegovina,"Meat, chicken",60970
Bosnia and Herzegovina,"Meat, pig",8771
Bosnia and Herzegovina,"Meat, sheep",1304
Botswana,"Meat, cattle",34000
Botswana,"Meat, chicken",4600
Botswana,"Meat, goat",4800
Botswana,"Meat, nes",756
Botswana,"Meat, pig",577
Botswana,"Meat, rabbit",1069
Botswana,"Meat, sheep",1400
Brazil,"Meat, cattle",9550000
Brazil,"Meat, chicken",13607352
Brazil,"Meat, duck",7342
Brazil,"Meat, goat",30525
Brazil,"Meat, horse",21103
Brazil,"Meat, pig",3824682
Brazil,"Meat, rabbit",1307
Brazil,"Meat, sheep",88568
Brazil,"Meat, turkey",586156
British Virgin Islands,"Meat, cattle",129
British Virgin Islands,"Meat, goat",31
British Virgin Islands,"Meat, pig",19
British Virgin Islands,"Meat, sheep",74
Brunei Darussalam,"Meat, buffalo",112
Brunei Darussalam,"Meat, cattle",440
Brunei Darussalam,"Meat, chicken",22912
Brunei Darussalam,"Meat, duck",240
Brunei Darussalam,"Meat, goat",26
Brunei Darussalam,"Meat, pig",53
Brunei Darussalam,"Meat, sheep",29
Bulgaria,"Meat, ass",0
Bulgaria,"Meat, bird nes",13
Bulgaria,"Meat, buffalo",260
Bulgaria,"Meat, cattle",17113
Bulgaria,"Meat, chicken",87029
Bulgaria,"Meat, duck",19586
Bulgaria,"Meat, goat",1633
Bulgaria,"Meat, goose and guinea fowl",60
Bulgaria,"Meat, horse",1
Bulgaria,"Meat, pig",75133
Bulgaria,"Meat, rabbit",5650
Bulgaria,"Meat, sheep",8878
Bulgaria,"Meat, turkey",267
Burkina Faso,"Meat, ass",1149
Burkina Faso,"Meat, camel",285
Burkina Faso,"Meat, cattle",105000
Burkina Faso,"Meat, chicken",45626
Burkina Faso,"Meat, goat",26900
Burkina Faso,"Meat, horse",380
Burkina Faso,"Meat, nes",
Burkina Faso,"Meat, pig",40825
Burkina Faso,"Meat, sheep",14419
Burundi,"Meat, cattle",14523
Burundi,"Meat, chicken",6300
Burundi,"Meat, goat",13039
Burundi,"Meat, pig",8850
Burundi,"Meat, rabbit",648
Burundi,"Meat, sheep",1080
Burundi,"Meat, turkey",
Cabo Verde,"Meat, cattle",777
Cabo Verde,"Meat, chicken",988
Cabo Verde,"Meat, goat",944
Cabo Verde,"Meat, pig",2332
Cabo Verde,"Meat, sheep",44
Cambodia,"Meat, buffalo",7588
Cambodia,"Meat, cattle",58627
Cambodia,"Meat, chicken",18295
Cambodia,"Meat, duck",10004
Cambodia,"Meat, pig",98359
Cameroon,"Meat, cattle",83520
Cameroon,"Meat, chicken",81293
Cameroon,"Meat, goat",18340
Cameroon,"Meat, horse",232
Cameroon,"Meat, pig",31017
Cameroon,"Meat, rabbit",98
Cameroon,"Meat, sheep",14564
Canada,"Meat, cattle",880039
Canada,"Meat, chicken",1235834
Canada,"Meat, duck",8995
Canada,"Meat, goose and guinea fowl",957
Canada,"Meat, horse",22295
Canada,"Meat, nes",2953
Canada,"Meat, pig",2141807
Canada,"Meat, sheep",16129
Canada,"Meat, turkey",171227
Central African Republic,"Meat, cattle",94803
Central African Republic,"Meat, chicken",6541
Central African Republic,"Meat, goat",23834
Central African Republic,"Meat, nes",11288
Central African Republic,"Meat, pig",18223
Central African Republic,"Meat, sheep",2474
Chad,"Meat, camel",7700
Chad,"Meat, cattle",417775
Chad,"Meat, chicken",6486
Chad,"Meat, goat",113271
Chad,"Meat, horse",987
Chad,"Meat, pig",2500
Chad,"Meat, sheep",151005
Chile,"Meat, cattle",199958
Chile,"Meat, chicken",637697
Chile,"Meat, goat",5710
Chile,"Meat, horse",7399
Chile,"Meat, pig",489003
Chile,"Meat, sheep",8465
Chile,"Meat, turkey",74515
China,"Meat, ass",156295
China,"Meat, bird nes",48
China,"Meat, buffalo",363134
China,"Meat, camel",20668
China,"Meat, cattle",6911741
China,"Meat, chicken",13440444
China,"Meat, duck",3067220
China,"Meat, goat",2292778
China,"Meat, goose and guinea fowl",2405182
China,"Meat, horse",181688
China,"Meat, mule",45451
China,"Meat, nes",503210
China,"Meat, pig",55449461
China,"Meat, rabbit",931834
China,"Meat, sheep",2384200
China,"Meat, turkey",2339
"China, Hong Kong SAR","Meat, cattle",6600
"China, Hong Kong SAR","Meat, chicken",23405
"China, Hong Kong SAR","Meat, duck",466
"China, Hong Kong SAR","Meat, goat",97
"China, Hong Kong SAR","Meat, pig",115500
"China, Hong Kong SAR","Meat, sheep",0
"China, Macao SAR","Meat, bird nes",48
"China, Macao SAR","Meat, buffalo",10
"China, Macao SAR","Meat, cattle",806
"China, Macao SAR","Meat, chicken",3357
"China, Macao SAR","Meat, duck",28
"China, Macao SAR","Meat, goat",25
"China, Macao SAR","Meat, goose and guinea fowl",60
"China, Macao SAR","Meat, pig",6566
"China, mainland","Meat, ass",156295
"China, mainland","Meat, buffalo",362700
"China, mainland","Meat, camel",20668
"China, mainland","Meat, cattle",6898000
"China, mainland","Meat, chicken",12855950
"China, mainland","Meat, duck",2980058
"China, mainland","Meat, goat",2291000
"China, mainland","Meat, goose and guinea fowl",2399576
"China, mainland","Meat, horse",181688
"China, mainland","Meat, mule",45451
"China, mainland","Meat, nes",502360
"China, mainland","Meat, pig",54518000
"China, mainland","Meat, rabbit",931834
"China, mainland","Meat, sheep",2384200
"China, Taiwan Province of","Meat, buffalo",424
"China, Taiwan Province of","Meat, cattle",6334
"China, Taiwan Province of","Meat, chicken",557732
"China, Taiwan Province of","Meat, duck",86667
"China, Taiwan Province of","Meat, goat",1656
"China, Taiwan Province of","Meat, goose and guinea fowl",5547
"China, Taiwan Province of","Meat, nes",850
"China, Taiwan Province of","Meat, pig",809394
"China, Taiwan Province of","Meat, turkey",2339
Colombia,"Meat, cattle",752969
Colombia,"Meat, chicken",1563569
Colombia,"Meat, goat",4785
Colombia,"Meat, horse",3418
Colombia,"Meat, pig",355000
Colombia,"Meat, rabbit",3199
Colombia,"Meat, sheep",3063
Comoros,"Meat, cattle",1228
Comoros,"Meat, chicken",596
Comoros,"Meat, goat",380
Comoros,"Meat, sheep",94
Congo,"Meat, cattle",5888
Congo,"Meat, chicken",6833
Congo,"Meat, goat",1061
Congo,"Meat, pig",1836
Congo,"Meat, sheep",436
Cook Islands,"Meat, cattle",3
Cook Islands,"Meat, chicken",21
Cook Islands,"Meat, goat",1
Cook Islands,"Meat, pig",565
Costa Rica,"Meat, cattle",77904
Costa Rica,"Meat, chicken",133200
Costa Rica,"Meat, goat",21
Costa Rica,"Meat, pig",60640
Costa Rica,"Meat, sheep",14
Côte d'Ivoire,"Meat, cattle",24325
Côte d'Ivoire,"Meat, chicken",58019
Côte d'Ivoire,"Meat, goat",5075
Côte d'Ivoire,"Meat, nes",31437
Côte d'Ivoire,"Meat, pig",8000
Côte d'Ivoire,"Meat, sheep",8542
