country,total_population
Afghanistan,36296.113
Albania,2884.169
Algeria,41389.189
American Samoa,55.62
Andorra,77.001
Angola,29816.766
Anguilla,14.584
Antigua and Barbuda,95.426
Argentina,43937.14
Armenia,2944.791
Aruba,105.366
Australia,24584.62
Austria,8819.901
Azerbaijan,9845.32
Bahamas,381.755
Bahrain,1494.076
Bangladesh,159685.424
Barbados,286.232
Belarus,9450.231
Belgium,11419.748
Belize,375.769
Benin,11175.198
Bermuda,63.049
Bhutan,745.563
Bolivia (Plurinational State of),11192.855
"Bonaire, Sint Eustatius and Saba",25.401
Bosnia and Herzegovina,3351.525
Botswana,2205.08
Brazil,207833.823
British Virgin Islands,29.577
Brunei Darussalam,424.473
Bulgaria,7102.444
Burkina Faso,19193.234
Burundi,10827.019
Cabo Verde,537.498
Cambodia,16009.409
Cameroon,24566.073
Canada,36732.095
Cayman Islands,63.382
Central African Republic,4596.023
Chad,15016.753
Channel Islands,168.665
Chile,18470.439
China,1452625.244
"China, Hong Kong SAR",7306.322
"China, Macao SAR",622.585
"China, mainland",1421021.791
"China, Taiwan Province of",23674.546
Colombia,48909.839
Comoros,813.892
Congo,5110.695
Cook Islands,17.507
Costa Rica,4949.954
Côte d'Ivoire,24437.47
Croatia,4182.857
Cuba,11339.254
Curaçao,161.997
Cyprus,1179.678
Czechia,10641.034
Democratic People's Republic of Korea,25429.825
Democratic Republic of the Congo,81398.764
Denmark,5732.274
Djibouti,944.099
Dominica,71.458
Dominican Republic,10513.104
Ecuador,16785.361
Egypt,96442.591
El Salvador,6388.126
Equatorial Guinea,1262.002
Eritrea,3412.893
Estonia,1319.39
Eswatini,1124.805
Ethiopia,106399.924
Falkland Islands (Malvinas),3.068
Faroe Islands,48.331
Fiji,877.459
Finland,5511.371
France,64842.509
French Guiana,275.191
French Polynesia,276.102
Gabon,2064.823
Gambia,2213.889
Georgia,4008.716
Germany,82658.409
Ghana,29121.465
Gibraltar,33.728
Greece,10569.45
Greenland,56.481
Grenada,110.874
Guadeloupe,399.672
Guam,164.281
Guatemala,16914.97
Guinea,12067.519
Guinea-Bissau,1828.145
Guyana,775.222
Haiti,10982.366
Holy See,0.793
Honduras,9429.013
Hungary,9729.823
Iceland,334.393
India,1338676.785
Indonesia,264650.963
Iran (Islamic Republic of),80673.883
Iraq,37552.781
Ireland,4753.279
Isle of Man,83.598
Israel,8243.848
Italy,60673.701
Jamaica,2920.848
Japan,127502.725
Jordan,9785.843
Kazakhstan,18080.019
Kenya,50221.142
Kiribati,114.158
Kuwait,4056.099
Kyrgyzstan,6189.733
Lao People's Democratic Republic,6953.035
Latvia,1951.097
Lebanon,6819.373
Lesotho,2091.534
Liberia,4702.226
Libya,6580.724
Liechtenstein,37.8
Lithuania,2845.414
Luxembourg,591.91
Madagascar,25570.512
Malawi,17670.196
Malaysia,31104.646
Maldives,496.402
Mali,18512.43
Malta,437.933
Marshall Islands,58.058
Martinique,375.948
Mauritania,4282.57
Mauritius,1264.499
Mayotte,252.957
Mexico,124777.324
Micronesia (Federated States of),111.459
Monaco,38.392
Mongolia,3113.786
Montenegro,627.563
Montserrat,4.984
Morocco,35581.255
Mozambique,28649.018
Myanmar,53382.523
Namibia,2402.633
Nauru,10.573
Nepal,27632.681
Netherlands,17021.347
Netherlands Antilles (former),275.186
New Caledonia,277.15
New Zealand,4702.034
Nicaragua,6384.846
Niger,21602.382
Nigeria,190873.244
Niue,1.609
North Macedonia,2081.996
Northern Mariana Islands,56.562
Norway,5296.326
Oman,4665.928
Pakistan,207906.209
Palau,17.808
Palestine,4747.227
Panama,4106.769
Papua New Guinea,8438.036
Paraguay,6867.061
Peru,31444.298
Philippines,105172.925
Poland,37953.18
Portugal,10288.527
Puerto Rico,3163.667
Qatar,2724.728
Republic of Korea,51096.415
Republic of Moldova,4059.684
Réunion,876.134
Romania,19653.969
Russian Federation,145530.082
Rwanda,11980.961
Saint Barthélemy,9.784
"Saint Helena, Ascension and Tristan da Cunha",6.008
Saint Kitts and Nevis,52.045
Saint Lucia,180.954
Saint Pierre and Miquelon,5.887
Saint Vincent and the Grenadines,109.827
Saint-Martin (French Part),36.56
Samoa,195.352
San Marino,33.671
Sao Tome and Principe,207.089
Saudi Arabia,33101.179
Senegal,15419.355
Serbia,8829.628
Seychelles,96.418
Sierra Leone,7488.423
Singapore,5708.041
Sint Maarten (Dutch Part),41.444
Slovakia,5447.9
Slovenia,2076.394
Solomon Islands,636.039
Somalia,14589.179
South Africa,57009.756
South Sudan,10910.763
Spain,46647.428
Sri Lanka,21128.032
Sudan,40813.397
Suriname,570.496
Sweden,9904.896
Switzerland,8455.804
Syrian Arab Republic,17095.678
Tajikistan,8880.268
Thailand,69209.81
Timor-Leste,1243.258
Togo,7698.474
Tokelau,1.3
Tonga,101.998
Trinidad and Tobago,1384.059
Tunisia,11433.443
Turkey,81116.45
Turkmenistan,5757.667
Turks and Caicos Islands,37.115
Tuvalu,11.37
Uganda,41166.588
Ukraine,44487.709
United Arab Emirates,9487.203
United Kingdom,66727.461
United Republic of Tanzania,54660.339
United States of America,325084.756
United States Virgin Islands,104.751
Uruguay,3436.641
Uzbekistan,31959.785
Vanuatu,285.51
Venezuela (Bolivarian Republic of),29402.484
Viet Nam,94600.648
Wallis and Futuna Islands,11.9
Western Sahara,552.615
Yemen,27834.819
Zambia,16853.599
Zimbabwe,14236.595
